abbau,abbauen
abbonement,abbonnieren
abbruch,abbrechen
abfahrt,abfahren
abflug,abfliegen
abgabe,abgeben
ablauf,ablaufen
abnahme,abnehmen
abreise,abreisen
absage,absagen
abschluss,abschlie�en
abschrift,abschreiben
absicht,beabsichtigen
abstieg,absteigen
abwehr,abwehren
adoption,adoptieren
akzeptanz,akzeptieren
amputation,amputieren
analyse,analysieren
anbau,anbauen
anfang,anfangen
angabe,angeben
angebot,anbieten
angriff,angreifen
ankunft,ankommen
anlage,anlegen
annahme,annehmen
anprobe,anprobieren
anreise,anreisen
anruf,anrufen
anschluss,anschlie�en
ansporn,anspornen
anstieg,ansteigen
ansto�,ansto�en
anstrich,anstreichen
antrieb,antreiben
antwort,antworten
anzeige,anzeigen
arbeit,arbeiten
arrangement,arrangieren
assimilation,assimilieren
atmen,atmung
attacke,attackieren
�rger,�rgern
aufbau,aufbauen
aufbruch,aufbrechen
aufgabe,aufgeben
aufnahme,aufnehmen
aufsicht,beaufsichtigen
aufstieg,aufsteigen
auftrag,beauftragen
aufwand,aufwenden
ausbau,ausbauen
ausdruck,ausdr�cken
ausfall,ausfallen
ausgabe,ausgeben
ausgang,ausgehen
ausgleich,ausgleichen
ausleihe,ausleihen
ausschluss,ausschlie�en
aussprache,aussprechen
ausstieg,aussteigen
austausch,austauschen
auswahl,ausw�hlen
bau,bauen
bedr�ngen,bedr�ngnis
befehl,befehlen
beginn,beginnen
beichte,beichten
beistand,beistehen
beitrag,beitragen
beitritt,beitreten
bekennen,bekenntnis
beleg,belegen
bericht,berichten
beschluss,beschlie�en
beschwerde,beschweren
besitz,besitzen
besuch,besuchen
beten,gebet
betrieb,betreiben
betrug,betr�gen
beweis,beweisen
biss,bei�en
bitte,bitten
blamage,blamieren
blick,blicken
blitz,blitzen
blockade,blockieren
bl�te,bl�hen
boykott,boykottieren
brand,brennen
br�llen,gebr�ll
bummel,bummeln
dank,bedanken
dank,danken
dauer,dauern
debatte,debattieren
deklaration,deklarieren
dekoration,dekorieren
dementi,dementieren
demonstration,demonstrieren
demontage,demontieren
denken,gedanke
deportation,deportieren
desertation,desertieren
desinfektion,desinfizieren
destillation,destillieren
diagnose,diagnostizieren
dienen,dienst
diskussion,diskutieren
dokumentation,dokumentieren
donner,donnern
dopen,doping
druck,drucken
duft,duften
dusche,duschen
eile,eilen
einfall,einfallen
eingabe,eingeben
eingriff,eingreifen
einkauf,einkaufen
einnahme,einnehmen
einsatz,einsetzen
einsehen,einsicht
einstieg,einsteigen
einsturz,einst�rzen
einwurf,einwerfen
einzug,einziehen
emigration,emigrieren
empfang,empfangen
ende,enden
engagement,engagieren
entnahme,entnehmen
entschluss,entschlie�en
entwurf,entwerfen
ereignen,ereignis
erhalt,erhalten
erkennen,erkenntnis
erlass,erlassen
erlauben,erlaubnis
erleben,erlebnis
ernte,ernten
erschweren,erschwernis
erwerb,erwerben
existenz,existieren
experiment,experimentieren
explosion,explodieren
export,exportieren
fahrt,fahren
fall,fallen
fang,fangen
faszination,faszinieren
feier,feiern
festnahme,festnehmen
flirt,flirten
