abandon,abandonment
able,ability
abort,abortion
abstract,abstraction
abuse,abusive
accept,acceptance
accident,accidental
accompany,accompaniment
accomplish,accomplishment
accountable,accountability
accuracy,accurate
accuse,accusation
achieve,achievement
acknowledge,acknowledgement
act,action,activity
adapt,adaptation
add,addition,additional
adjust,adjustment
admire,admiration
adopt,adoption
advertise,advertize,advertisement
advice,advise
affect,effect
agree,agreement
alcohol,alcoholic
allow,allowance
alter,alteration
amaze,amazing,amazement
ambiguity,ambiguous,ambiguousness
amuse,amusing,amusement
analyse,analyze,analysis
anger,angry
announce,announcement
anonymity,anonymous
apology,apologize,apologetic
appear,appearance
applaud,applause
appoint,appointment
approve,approval
argue,argument
arrange,arrangement
assert,assertion
assess,assessment
assure,assurance
astonish,astonishing,astonishment
attach,attachment
attain,attainment
attract,attraction
attribute,attribution
avoid,avoidance
base,basic,basis
beast,beastly
behave,behavior,behaviour,behavioral
belief,believe
breath,breathe
bury,burial
capable,capability
cease,cessation
ceremony,ceremonial
certain,certainty
charm,charming
cite,citation
clean,cleanliness
clear,clarity
clinic,clinical
collaboration,collaborative
collect,collection
combine,combination
commerce,commercial
commit,commitment
compare,comparison
compete,competition
compile,compilation
complete,completion
compliant,compliance
compose,composition
comprehend,comprehension
conclude,conclusion
confirm,confirmation
conform,conformity
confront,confrontation
confuse,confusion
connect,connection
consequent,consequence
conservatism,conservative
consider,consideration
consistent,consistency
constrain,constraint
construct,construction
consult,consultation
continue,continuation
contradict,contradiction
contribute,contribution
controversy,controversial
convene,convention
convenient,convenience
cooperate,cooperative
correct,correction
correlate,correlative
correspond,correspondence
cover,coverage
critical,criticise,criticism,criticize
cruel,cruelty
day,daily
deceit,deceive,deception,deceptive
decide,decision
declare,declaration,declarative
deep,depth
defend,defence,defense,defensive
define,definition
deny,denial
depend,dependence
depress,depression,depressive
describe,description
despair,desperation
destroy,destruction,destructive
detach,detachment
detect,detection
deter,deterrent,deterrence
determine,determination
develop,development,developmental
devote,devotion
diagnose,diagnosis
dictator,dictatorial
die,dead,death
differ,different,difference
digest,digestion,digestive
dimension,dimensional
disagree,disagreement
disappoint,disappointing,disappointment
disaster,disastrous
discourage,discouragement
discuss,discussion
dishonest,dishonesty
dismiss,dismissal
disobey,disobedient,disobedience
dispose,disposal
disrespect,disrespectful
dissatisfy,dissatisfaction
distant,distance
distinct,distinction,distinctive
distort,distortion
distract,distracting,distraction
disturb,disturbing,disturbance
diverse,diversity
divide,division
domestic,domesticate
dominant,dominate,dominance
doubt,doubtful
ease,easy
edit,edition
efficient,efficiency
elect,election
embarrass,embarrassment
emerge,emergence
emit,emission
emphasis,emphatic,emphasise,emphasize
employ,employment
enclose,enclosure
encourage,encouragement
endure,endurance
energy,energize,energetic
enforce,enforcement
engage,engagement
enhance,enhancement
enjoy,enjoyment
enlarge,enlargement
enormity,enormous
enter,entrance
entertain,entertainment
entitle,entitlement
envy,envious
equal,equality
equip,equipment
evolve,evolution
examine,examination
excel,excellent,excellence
excess,excessive
excite,excitement
execute,execution
exhibit,exhibition
exist,existence
expand,expansion
expanse,expansive
expect,expectation
expend,expenditure
expense,expensive
expire,expiry,expiration
explain,explanation
explode,explosion,explosive
exploit,exploitation
explore,exploration
express,expression
expel,expulsion
extract,extraction
fail,failure
familiar,familiarise,familiarity,familiarize
fear,fearful
feasible,feasibility
fiction,fictional
finance,financial
fly,flight
forgive,forgiveness
frequent,frequency
fur,furry
generous,generosity
gift,give
glass,glassy
govern,government
grand,grandeur
grateful,gratitude
guilt,guilty
hard,hardship
haste,hasty
hierarchy,hierarchical
high,height
hinder,hindrance
history,historical
honest,honesty
hope,hopeful
hostile,hostility
humid,humidity
hunger,hungry
hypothesis,hypothetical
ice,icy
identify,identity,identification
ideology,ideological
imagine,imagination
impatient,impatience
important,importance
impress,impression
imprison,imprisonment
improbable,improbability
improve,improvement
impure,impurity
incapable,incapability
incident,incidence,incidental
include,inclusion
inconsistent,inconsistency
independent,independence
indifferent,indifference
infeasible,infeasibility
infect,infection
infinite,infinity
inform,information
inhibit,inhibition
injure,injury
innocent,innocence
insist,insistent,insistence
inspect,inspection
instant,instance
institution,institutional
instruct,instruction
integral,integrate
intelligent,intelligence
intend,intention
intense,intensity
interrupt,interruption
intervene,intervention
introduce,introduction
invade,invasion
invent,invention
invite,invitation
involve,involvement
liable,liability
logic,logical
loose,loosen
lose,loss
loyal,loyalty
magic,magical
maintain,maintenance
manage,management
manipulate,manipulative
marry,marriage
mass,massive
maximal,maximum
measure,measurement
minimal,minimum
mix,mixture
modern,modernity
modest,modesty
month,monthly
music,musical
necessary,necessity,necessitate
neglect,negligent,negligence
nerve,nervous
noble,nobility
norm,normal,normality
obey,obedient,obedience
oblige,obligation,obligatory
offend,offence,offense
omit,omission
option,optional
package,packaging
patient,patience
patriot,patriotic,patriotism
peace,peaceful
peculiar,peculiarity
perfect,perfection
perform,performance
permit,permission
persist,persistent,persistence
persuade,persuasion
poem,poetic
poor,poverty
possess,possession,possessive
possible,possibility
post,postal
practical,practicality
practice,practise
precise,precision
prefer,preference
prejudice,prejudicial
prepare,preparation
present,presence
preserve,preservation,preservative
presume,presumption
presuppose,presupposition
pretend,pretence
prevalent,prevalence
prevent,prevention
probable,probability
produce,production
progress,progression
prohibit,prohibition,prohibitory
project,projection
promote,promotion
proof,prove
propose,proposal
protect,protection,protective
publicise,publicize,publication
punish,punishment
pure,purity
rare,rarity
react,reaction
reappear,reappearance
reassure,reassurance
rebel,rebellious
receipt,receive
recognise,recognize,recognition
reconcile,reconciliation
reconsider,reconsideration
recruit,recruitment
refer,referral
refresh,refreshment
refuse,refusal
reinforce,reinforcement
relax,relaxation
relief,relieve
reluctant,reluctance
rely,reliance
represent,representation
reproduce,reproduction
require,requirement
reside,residence,residential
resign,resignation
resist,resistance
resolve,resolution
respect,respectful
responsible,responsibility
restrain,restraint
restrict,restriction,restrictive
reverse,reversal
rigor,rigour,rigorous
rival,rivalry
rose,rosy
satisfy,satisfaction
secret,secrecy
sector,sectoral
sequence,sequential
serve,service
settle,settlement
sex,sexual
sign,signature
sincere,sincerity
solve,solution
speak,speech
sphere,spherical
spite,spiteful
spontaneity,spontaneous
strong,strength
stupid,stupidity
substance,substantial
succeed,success
suggest,suggestion
summer,summery
superior,superiority
suppose,supposition
survive,survival
suspend,suspension
talent,talented
tempt,temptation
tense,tension
thirst,thirsty
threat,threaten
transmit,transmission
treat,treatment
true,truth
trivia,trivial
unable,inability
uncertain,uncertainty
unimportant,unimportance
unite,unity
use,usage
vary,variation
virtue,virtuous
warm,warmth
waste,wastage
week,weekly
weigh,weight
wide,width
winter,wintery
wood,wooden
wool,wooly,woolen,woolly,woollen
year,yearly
young,youth
